date,close,open,high,low,volume,change_percent,avg_vol_20d
20160203,5610.1734,5520.6415,5634.9198,5482.2247,63280726.0,1.621766238579338,79556100.2
20160204,5721.4853,5631.3198,5744.0236,5631.3198,71083982.0,1.6011433056954085,81688962.2
20160205,5664.1971,5734.4807,5747.9794,5662.4365,56075545.0,-1.2256314682513405,78936259.2
20160215,5668.0398,5485.723,5700.5221,5482.7957,53631253.0,3.323478053849959,75837785.05
20160216,5902.5341,5694.7487,5918.5932,5694.7487,82877143.0,3.648719389496498,75386381.2
20160217,5971.4123,5889.5021,5979.4073,5854.2197,90582520.0,1.390783102021481,75609337.1
20160218,5957.1305,6009.7485,6034.8519,5945.204,93714798.0,-0.8755441263473752,75682504.7
20160219,5979.5164,5939.6973,6009.724,5919.6832,70380499.0,0.6703893816272526,74770002.7
20160222,6103.7225,6055.6751,6111.6899,6029.4589,94320520.0,0.7934276394716002,75862539.25
20160223,6070.4998,6102.5122,6118.6447,5982.211,87874876.0,-0.5245774027293305,75857232.3
20160224,6111.0427,6041.7529,6116.2549,5975.1403,89819579.0,1.1468492860739068,75750835.35
20160225,5626.0522,6097.4199,6097.5442,5604.1035,110668653.0,-7.730609138465268,77190129.75
20160226,5648.9376,5668.329,5701.0506,5517.6299,79857895.0,-0.3421008201887985,77691489.05
20160229,5350.4337,5618.5094,5618.5094,5286.3446,86703153.0,-4.77129574616357,78761221.0
20160301,5473.6349,5361.7919,5504.7514,5294.5438,80803571.0,2.0859257891004654,78529203.7
20160302,5753.1482,5464.7331,5763.7994,5462.7415,110671952.0,5.277752723184216,79666595.4
20160303,5776.977,5757.3608,5872.9242,5745.6227,128527360.0,0.3407151415627709,82726059.6
20160304,5621.5614,5755.1192,5805.4085,5542.9828,108829948.0,-2.320678258062848,84549602.45
20160307,5752.5482,5686.6863,5788.4718,5681.8474,87170581.0,1.1581771268093315,85672325.8
20160308,5764.3253,5751.3875,5764.3253,5538.1512,98149656.0,0.22495093575247027,87251210.5
20160309,5617.0376,5627.1384,5709.5166,5583.0666,72615323.0,-0.1795015384729148,87717940.35
20160310,5521.948,5617.4152,5657.2629,5517.0161,59559411.0,-1.6994862690584103,87141711.8
20160311,5508.9818,5460.5423,5545.3432,5433.3223,49800022.0,0.8870822225843668,86827935.65
20160314,5690.5904,5568.464,5748.3333,5568.464,79997418.0,2.1931793040235172,88146243.9
20160315,5639.8012,5672.7536,5701.5681,5608.9982,66268900.0,-0.580888970746061,87315831.75
20160316,5562.8037,5662.4386,5689.281,5531.3341,57487332.0,-1.7595758124423637,85661072.35
20160317,5745.975,5589.2203,5759.5403,5579.725,84575758.0,2.804589756463892,85204120.35
20160318,5949.263,5774.303,5967.459,5768.908,125160341.0,3.029976085425376,87943112.45
20160321,6099.4805,6016.6943,6100.032,6001.3219,131825514.0,1.3759416030161205,89818362.15
20160322,6075.4922,6045.8393,6130.2647,6013.0489,107721654.0,0.49046788259820345,90810701.05
20160323,6118.9664,6054.2224,6119.3058,6031.2721,89661324.0,1.069402405831682,90802788.3
20160324,6018.4242,6062.7577,6127.5122,6008.5416,101439743.0,-0.7312431436934999,90341342.8
20160325,6077.4312,6006.6685,6081.0923,5996.5377,78231312.0,1.1780690078035807,90260013.65
20160328,6037.7782,6114.7665,6167.2381,6017.4883,93782330.0,-1.2590554357226884,90613972.5
20160329,5921.8672,6029.9433,6041.3823,5875.0699,79003975.0,-1.7923236525292077,90523992.7
20160330,6137.5034,5981.4209,6137.7915,5981.4209,88061292.0,2.609455221584549,89393459.7
20160331,6155.8138,6164.281,6211.1386,6133.5955,94915722.0,-0.13735908534993857,87712877.8
20160401,6124.5278,6129.7241,6157.7401,6022.9698,85219533.0,-0.0847721678044289,86532357.05
20160405,6286.5826,6136.6854,6293.4695,6117.1766,105543049.0,2.442641103941868,87450980.45
20160406,6323.4342,6262.6013,6324.2045,6243.1129,104674579.0,0.9713679202282832,87777226.6
20160407,6228.9737,6344.3677,6355.3277,6228.9737,109927150.0,-1.8188416160053307,89642817.95
20160408,6168.7419,6176.8641,6199.1468,6087.104,88670173.0,-0.1314939080495521,91098356.05
20160411,6304.3004,6226.381,6334.536,6226.381,102199978.0,1.251439640458876,93718353.85
20160412,6252.7729,6299.472,6316.248,6182.8182,87061767.0,-0.7413176850377272,94071571.3
20160413,6344.2255,6292.5692,6421.7271,6292.5692,132989984.0,0.8209095261121586,97407625.5
20160414,6401.8545,6375.4939,6402.509,6324.4635,99088176.0,0.4134675746454714,99487667.7
20160415,6384.3496,6403.2525,6414.7939,6345.5538,82798055.0,-0.29520778698013306,99398782.55
20160418,6281.2024,6343.7013,6343.7013,6241.9826,80400472.0,-0.9852118982966552,97160789.1
20160419,6308.229,6314.5816,6334.904,6262.6116,69438667.0,-0.10060207314448459,94041446.75
20160420,6022.2126,6331.8699,6344.7813,5923.4332,117325387.0,-4.890455819378094,94521633.4
20160421,5970.682,6000.3047,6085.9349,5960.504,84808592.0,-0.49368659561571765,94278996.8
20160422,6011.3201,5930.531,6011.4595,5915.3057,62323811.0,1.3622574437263706,92323200.2
20160425,5978.0772,5997.2134,5997.2189,5897.7351,57034333.0,-0.31908486031195615,91263351.25
20160426,6046.7734,5971.8051,6047.0641,5958.4005,56055305.0,1.2553708425614973,89377000.0
20160427,6016.699,6051.4431,6086.3639,6005.1631,60731581.0,-0.5741456942725083,88463380.3
20160428,5990.3285,6014.1258,6027.1966,5888.0639,60430701.0,-0.39569009347959067,87081850.75
20160429,5985.594,5963.9077,6018.2657,5953.131,49704188.0,0.3636256811955742,84821274.05
20160503,6167.4537,5991.8294,6167.7976,5960.9405,75831059.0,2.9310630906814605,84351850.35
20160504,6169.7826,6144.5691,6213.1931,6136.3005,74555740.0,0.4103379682067509,82802484.9
20160505,6203.8166,6159.7265,6206.5295,6133.3802,64558967.0,0.7157801567975518,80796704.3
20160506,5961.489,6208.4401,6226.8759,5961.4591,98056918.0,-3.97766743372462,80203192.7
20160509,5743.6473,5910.124,5910.124,5714.1191,78233381.0,-2.8168055357214192,79681353.1
20160510,5738.8961,5728.1084,5766.1568,5697.0927,52657745.0,0.18832918734568393,77204241.45
20160511,5723.4104,5770.3526,5806.4691,5700.0955,58011126.0,-0.8135066130967527,75751709.4
20160512,5726.4555,5647.0653,5727.5784,5559.693,58215814.0,1.4058665126468401,72013000.9
20160513,5714.3107,5708.6277,5779.8921,5677.9415,53076736.0,0.09955107074157232,69712428.9
